Date,Open,High,Low,True Range,1D,,,,,,,
06/07/2021,33723.50781,35038.53516,33599.91797,1438.61719,4.97%,,,,,,,
05/07/2021,35284.34375,35284.34375,33213.66016,2070.68359,5.21%,,,,,,,
04/07/2021,34665.56641,35937.56641,34396.47656,1541.08985,4.50%,,,,,,,
03/07/2021,33854.42188,34909.26172,33402.69531,1506.56641,3.99%,,,,,,,
02/07/2021,33549.60156,33939.58984,32770.67969,1168.91015,4.74%,,,,,,,
01/07/2021,35035.98438,35035.98438,32883.78125,2152.20313,5.77%,,,,,,,
30/06/2021,35908.38672,36074.75781,34086.15234,1988.60547,6.20%,,,,,,,
29/06/2021,34475.55859,36542.10938,34252.48438,2289.625,5.20%,,,,,,,
28/06/2021,34679.12109,35219.89063,33902.07422,1317.81641,6.04%,,,,,,,
27/06/2021,32287.52344,34656.12891,32071.75781,2584.3711,7.97%,,,,,,,
26/06/2021,31594.66406,32637.58789,30184.50195,2453.08594,9.51%,,,,,,,
25/06/2021,34659.10547,35487.24609,31350.88477,4136.36132,10.36%,,,,,,,
24/06/2021,33682.80078,35228.85156,32385.21484,2843.63672,8.96%,,,,,,,
23/06/2021,32515.71484,34753.41016,31772.63281,2980.77735,11.67%,,,,,,,
22/06/2021,31622.37695,33292.45313,28893.62109,4398.83204,12.38%,,,,,,,
21/06/2021,35641.14453,35721.64063,31295.93555,4425.70508,9.92%,,,,,,,
20/06/2021,35563.14063,36059.48438,33432.07422,2627.41016,5.79%,,,,,,,
19/06/2021,35854.52734,36457.79688,34933.0625,1524.73438,5.85%,,,,,,,
18/06/2021,38099.47656,38187.26172,35255.85547,2931.40625,6.53%,,,,,,,
17/06/2021,38341.42188,39513.67188,37439.67578,2073.9961,5.50%,,,,,,,
16/06/2021,40168.69141,40516.77734,38176.03516,2340.74218,4.98%,,,,,,,
15/06/2021,40427.16797,41295.26953,39609.46875,1685.80078,5.01%,,,,,,,
14/06/2021,39016.96875,40978.36328,38757.28516,2221.07812,9.39%,,,,,,,
13/06/2021,35555.78906,39322.78125,34864.10938,4458.67187,9.56%,,,,,,,
12/06/2021,37340.14453,37408.92578,34728.19141,2680.73437,5.78%,,,,,,,
11/06/2021,36697.03125,37608.69531,36044.44922,1564.24609,5.42%,,,,,,,
10/06/2021,37389.51563,38334.32422,35847.59375,2486.73047,11.29%,,,,,,,
09/06/2021,33416.97656,37537.37109,32475.86523,5061.50586,11.86%,,,,,,,
08/06/2021,33589.51953,34017.38672,31114.44336,2902.94336,8.67%,,,,,,,
07/06/2021,35835.26563,36790.57031,33480.64063,3309.92968,6.25%,,,,,,,
06/06/2021,35538.60938,36436.42188,35304.57813,1131.84375,5.63%,,,,,,,
05/06/2021,36880.15625,37917.71484,34900.41406,3017.30078,8.34%,,,,,,,
04/06/2021,39242.48438,39242.48438,35717.72266,3524.76172,7.66%,,,,,,,
03/06/2021,37599.41016,39478.95313,37243.97266,2234.98047,6.13%,,,,,,,
02/06/2021,36699.92188,38231.33984,35966.30859,2265.03125,5.87%,,,,,,,
01/06/2021,37293.79297,37896.73438,35787.08594,2109.64844,7.48%,,,,,,,
31/05/2021,35658.59375,37468.25,34241.94531,3226.30469,8.82%,,,,,,,
30/05/2021,34607.40625,36400.66797,33520.73828,2879.92969,9.00%,,,,,,,
29/05/2021,35684.15625,37234.5,33693.92969,3540.57031,9.89%,,,,,,,
28/05/2021,38507.08203,38856.96875,34779.03906,4077.92969,9.17%,,,,,,,
27/05/2021,39316.89063,40379.61719,37247.90234,3131.71485,7.82%,,,,,,,
26/05/2021,38392.625,40782.07813,37905.83594,2876.24219,7.82%,,,,,,,
25/05/2021,38795.78125,39776.35156,36581.42969,3194.92187,12.22%,,,,,,,
24/05/2021,34700.36328,39835.14063,34551.08203,5284.0586,16.45%,,,,,,,
23/05/2021,37531.44922,38289.21875,31227.33984,7061.87891,14.06%,,,,,,,
22/05/2021,37371.03125,38831.05469,35383.68359,3447.3711,14.78%,,,,,,,
21/05/2021,40596.94922,42172.17188,33616.45313,8555.71875,21.72%,,,,,,,
20/05/2021,36753.66797,42462.98438,35050.61719,7412.36719,23.61%,,,,,,,
19/05/2021,42944.97656,43546.11719,30681.49609,12864.6211,18.75%,,,,,,,
18/05/2021,43488.05859,45812.45703,42367.83203,3444.625,8.47%,,,,,,,
17/05/2021,46415.89844,46623.55859,42207.28906,4416.26953,10.89%,,,,,,,
16/05/2021,46716.63672,49720.04297,43963.35156,5756.69141,9.76%,,,,,,,
15/05/2021,49855.49609,50639.66406,46664.14063,3975.52343,6.59%,,,,,,,
14/05/2021,49682.98047,51438.11719,48868.57813,2569.53906,6.96%,,,,,,,
13/05/2021,49735.43359,51330.84375,46980.01953,4350.82422,11.58%,,,,,,,
12/05/2021,56714.53125,57939.36328,49150.53516,8788.82812,9.90%,,,,,,,
11/05/2021,55847.24219,56872.54297,54608.65234,2263.89063,6.62%,,,,,,,
10/05/2021,58250.87109,59519.35547,54071.45703,5447.89844,6.94%,,,,,,,
09/05/2021,58877.39063,59210.88281,56482.00391,2728.8789,4.55%,,,,,,,
08/05/2021,57352.76563,59464.61328,56975.21094,2489.40234,5.12%,,,,,,,
07/05/2021,56413.95313,58606.63281,55321.84766,3284.78515,5.45%,,,,,,,
06/05/2021,57441.30859,58363.31641,55382.50781,2980.8086,7.44%,,,,,,,
05/05/2021,53252.16406,57911.36328,52969.05469,4942.30859,7.83%,,,,,,,
04/05/2021,57214.17969,57214.17969,53191.42578,4022.75391,5.66%,,,,,,,
03/05/2021,56620.27344,58973.30859,56590.87109,2382.4375,3.58%,,,,,,,
02/05/2021,57825.86328,57902.59375,56141.90625,1760.6875,2.73%,,,,,,,
01/05/2021,57714.66406,58448.33984,57052.27344,1396.0664,5.76%,,,,,,,
30/04/2021,53568.66406,57900.71875,53129.60156,4771.11719,6.81%,,,,,,,
